sex,age,annhrs,annlabinc,degree,yrsexp,yrsftexp,yrsptexp,hrwage,race,job,region
1,26,2040,28000.0,0.0,7.0,7.0,0.0,13.72549057,2,2,3
1,48,2116,60500.0,0.0,30.0,25.0,5.0,28.59168243,2,16,3
1,33,2240,37000.0,0.0,14.0,11.0,3.0,16.5178566,2,0,2
1,33,2062,46000.0,1.0,15.0,10.0,5.0,22.30843925,2,8,1
1,37,2136,54000.0,0.0,19.0,19.0,0.0,25.28089905,2,5,1
1,40,2100,16000.0,0.0,22.0,22.0,0.0,7.619047642,0,20,2
1,31,1950,29250.0,0.0,10.0,10.0,0.0,15.0,0,5,3
1,58,1960,23000.0,0.0,39.0,39.0,0.0,11.73469353,0,2,2
1,25,2430,58000.0,1.0,6.0,3.0,3.0,23.86831284,2,12,0
1,55,2544,56000.0,0.0,36.0,36.0,0.0,22.01257896,2,15,0
1,31,1792,29000.0,0.0,12.0,11.0,1.0,16.1830349,0,15,2
1,29,2331,31000.0,0.0,9.0,7.0,2.0,13.29901314,2,0,2
1,38,2730,39580.0,2.0,20.0,17.0,3.0,14.49816895,2,0,0
1,32,2210,16000.0,0.0,14.0,13.0,1.0,7.23981905,0,15,2
1,51,2167,26000.0,0.0,32.0,31.0,1.0,11.99815369,2,5,0
1,50,1960,35000.0,0.0,27.0,27.0,0.0,17.8571434,0,2,1
1,50,2500,63000.0,0.0,31.0,29.0,2.0,25.20000076,2,12,1
1,28,2860,18500.0,0.0,7.0,5.0,2.0,6.468531609,2,13,3
1,32,2550,49700.0,1.0,10.0,6.0,4.0,19.49019623,2,12,2
1,55,2098,40000.0,0.0,37.0,37.0,0.0,19.06577682,2,16,3
1,51,2040,64000.0,1.0,32.0,27.0,5.0,31.37254906,2,8,0
1,48,2500,45000.0,0.0,29.0,27.0,2.0,18.0,2,12,0
1,55,2550,29000.0,0.0,36.0,36.0,0.0,11.37254906,2,12,2
1,51,1840,23965.0,0.0,25.0,23.0,2.0,13.02445698,2,13,0
1,31,2295,25700.0,0.0,12.0,12.0,0.0,11.19825745,2,7,0
1,34,2300,49000.0,0.0,13.0,11.0,2.0,21.30434799,2,5,2
1,46,2420,29000.0,2.0,22.0,22.0,0.0,11.98347092,0,12,0
1,38,2232,58000.0,0.0,15.0,14.0,1.0,25.98566246,2,5,0
1,42,1530,26000.0,0.0,14.0,14.0,0.0,16.99346352,2,7,2
1,35,2541,57000.0,0.0,13.0,13.0,0.0,22.43211365,2,15,0
1,37,1936,15000.0,0.0,19.0,18.0,1.0,7.747933865,2,17,2
1,29,1720,19000.0,0.0,7.0,6.0,2.0,11.04651165,2,16,2
1,36,1912,11000.0,0.0,18.0,18.0,0.0,5.753138065,0,15,2
1,27,1992,35000.0,0.0,8.0,8.0,0.0,17.57028198,2,13,3
1,40,2400,33000.0,0.0,20.0,18.0,2.0,13.75,2,20,1
1,26,2000,35000.0,1.0,7.0,4.0,3.0,17.5,2,17,2
1,60,2331,18000.0,1.0,33.0,32.0,1.0,7.722007751,0,11,0
1,31,2080,31500.0,0.0,11.0,11.0,0.0,15.14423084,0,5,2
1,49,2083,59000.0,0.0,24.0,22.0,2.0,28.32453156,2,2,0
1,57,1849,8000.0,0.0,38.0,37.0,1.0,4.326663017,2,16,1
1,49,2306,55000.0,0.0,21.0,21.0,0.0,23.85082436,0,16,0
1,29,2024,22000.0,0.0,8.0,8.0,0.0,10.86956501,2,1,0
1,53,2805,35000.0,0.0,16.0,12.0,4.0,12.47771835,0,12,1
1,34,2225,33250.0,1.0,14.0,13.0,1.0,14.94382,2,12,0
1,33,2125,65000.0,2.0,13.0,9.0,4.0,30.58823586,2,12,0
1,28,2320,15200.0,0.0,10.0,9.0,1.0,6.551723957,2,8,1
1,44,2400,45600.0,1.0,19.0,15.0,4.0,19.0,0,12,2
1,37,2097,43600.0,1.0,19.0,16.0,3.0,20.7916069,2,0,0
1,30,2550,57000.0,0.0,10.0,4.0,6.0,22.35294151,2,0,3
